PONDERA;ORDRE_REVISADA;ANY;MES;DIA;HOR_INI;HOR_FIN;DURADA;ENQUESTADOR_CODI;ENQUESTADOR_SEXE;ENQUESTADOR_EDAT;ENQUESTADOR_ESTUDIS;ENQUESTADOR_NACIONALITAT;NUM_QUEST_CAMP;PROVINCIA;HABITAT;MUNICIPI;COMARCA;DOMICILI_PARTICULAR;LLENGUA_ENQUESTA;LLENGUA_SISTEMA;PADRO;CIUTADANIA;SEXE;EDAT;EDAT_GR;EDAT_CEO;LLOC_NAIX;HORA_PRIMERA_PREGUNTA;HORA_ULTIMA_PREGUNTA;TIP_TEL;SUPERVISADA;CIRCUIT_996_1;CIRCUIT_996_2;CIRCUIT_996_3;SIT_ECO_CAT;SIT_ECO_CAT_RETROSPECTIVA;SIT_ECO_CAT_PROSPECTIVA;SIT_ECO_ESP;SIT_ECO_PERSONAL;SIT_POL_CAT;SIT_POL_CAT_RETROSPECTIVA;SIT_POL_CAT_PROSPECTIVA;SIT_POL_ESP;CAT_ESP;INTERES_POL;INF_POL;CONFI_POL_CAT;VAL_GOV_CAT;CONFI_POL_ESP;VAL_GOV_ESP;INF_POL_TV;INF_POL_RADIO;INF_POL_PREMSA;INF_POL_INTERNET;INF_POL_AMICS;INF_POL_NO;INF_POL_NS;INF_POL_NC;SATIS_DEMOCRACIA;SIMPATIA_PARTIT;SIMPATIA_PARTIT_LITERALS;IDEOL_1_7;CAT_0_10;ESP_0_10;MONARQUIA_REPUBLICA;SIGNIFICA_ESP;DEFINICIO_CAT;DEFINICIO_CAT_LITERALS;AUTONOMIA_CAT;RELACIONS_CAT_ESP;ACTITUD_INDEPENDENCIA;DRET_DECIDIR;VOT_DRET_DEURE;ELECCIONS_IMPORTANCIA;SATISFACCIO_ELECCIONS_14F2021;PART_PARLAMENT;REC_PARLAMENT_VOT_DECISIO;REC_PARLAMENT_VOT;REC_PARLAMENT_VOT_LITERALS;REC_PARLAMENT_FERMESA;REC_PARLAMENT_CANDIDAT;REC_PARLAMENT_PARTIT;REC_PARLAMENT_INTERESSOS;REC_PARLAMENT_IDEES;REC_PARLAMENT_ACTUACIO;REC_PARLAMENT_ACTUACIO_2;REC_PARLAMENT_EVITAR;REC_PARLAMENT_ALTRES;REC_PARLAMENT_CAP;REC_PARLAMENT_NS;REC_PARLAMENT_NC;POST_PARLAMENT_DECISIO_RELACIO;POST_PARLAMENT_DECISIO_CRISI;POST_PARLAMENT_DECISIO_CORRUPCIO;POST_PARLAMENT_DECISIO_CANVI_CLIMATIC;POST_PARLAMENT_DECISIO_COVID;INT_PARLAMENT_VOT;INT_PARLAMENT_VOT_LITERALS;PART_PARLAMENT_ANTERIORS;REC_PARLAMENT_VOT_ANTERIORS;REC_PARLAMENT_VOT_ANTERIORS_LITERALS;INT_CONGRES_VOT;INT_CONGRES_VOT_LITERALS;PART_CONGRES;REC_CONGRES_VOT;REC_CONGRES_VOT_LITERALS;CONEIX_A_FERNANDEZ;VAL_A_FERNANDEZ;CONEIX_C_PUIGDEMONT;VAL_C_PUIGDEMONT;CONEIX_L_BORRAS;VAL_L_BORRAS;CONEIX_O_JUNQUERAS;VAL_O_JUNQUERAS;CONEIX_P_ARAGONES;VAL_P_ARAGONES;CONEIX_M_ICETA;VAL_M_ICETA;CONEIX_S_ILLA;VAL_S_ILLA;CONEIX_J_ALBIACH;VAL_J_ALBIACH;CONEIX_J_ASENS;VAL_J_ASENS;CONEIX_C_CARRIZOSA;VAL_C_CARRIZOSA;CONEIX_I_MARTIN_BLANCO;VAL_I_MARTIN_BLANCO;CONEIX_C_RIERA;VAL_C_RIERA;CONEIX_D_SABATER;VAL_D_SABATER;CONEIX_I_GARRIGA;VAL_I_GARRIGA;LLOC_NAIX_CCAA;ANY_ARRIBADA;LLOC_NAIX_PARE;LLOC_NAIX_PARE_CCAA;LLOC_NAIX_MARE;LLOC_NAIX_MARE_CCAA;LLOC_NAIX_AVIS;RELIGIO;RELIGIO_LITERALS;RELIGIO_FREQ;SIT_LAB;SIT_LAB_NO_ACTIU;SIT_LAB_ACTIU;SECTOR;ESTUDIS;ESTUDIS_LITERALS;ESTAT_CIVIL;FILLS;SENTIMENT_PERTINENCA;LLENGUA_PROPIA;LLENGUA_PRIMERA;CLASSE_SOCIAL_SUBJECTIVA_1_7;US_TELEFON_FIX;PERSONES_LLAR;INGRESSOS_1_6;DISCAPACITAT;TIPUS_DISCAPACITAT_1;TIPUS_DISCAPACITAT_2;TIPUS_DISCAPACITAT_3;TIPUS_DISCAPACITAT_4;DISCAPACITAT_LITERALS;E1;E2;E3;E4;E5;E6;SIMPATIA_PARTIT_R;REC_PARLAMENT_VOT_R;REC_PARLAMENT_VOT_CENS;REC_PARLAMENT_VOT_CENS_R;INT_PARLAMENT_VOT_R;REC_PARLAMENT_VOT_ANTERIORS_R;REC_PARLAMENT_VOT_ANTERIORS_CENS_R;INT_CONGRES_VOT_R;REC_CONGRES_VOT_R;REC_CONGRES_VOT_CENS;REC_CONGRES_VOT_CENS_R
1;75;2021;5; ; ; ;1512;646;Dona;37;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 10.001 a 50.000; ;Bages;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;74;65 anys o més;De 70 a 74 anys;Catalunya; ; ;Trucada a telèfon fix;Sí;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";ESP_0_10 + CAT_0_10;SIGNIFICA_ESP + DEFINICIO_CAT;Dolenta;Igual;Es quedarà igual;Bona;Igual;Dolenta;Igual;Empitjorarà;Bona;Sóc un/a català/ana que viu a Catalunya;Bastant;Poc;2;4;5;8;Sí;No;Sí;No;No;No;No;No;Poc satisfet/a;Cap;-;Centre;7;7;Monarquia;El meu país;Una comunitat autònoma;-;Un nivell suficient d'autonomia;Una comunitat autònoma d'Espanya;No;En desacord;No contesta;Parlament de Catalunya (autonòmiques);5;No vaig votar; ; ;-; ; ; ; ; ; ; ; ; ; ; ; ;4;7;5;8;7;En blanc;-;No vaig votar; ;-;No ho sap;-;No vaig votar; ;-;Coneix;3;Coneix;0 Molt malament;Coneix;5;Coneix;2;Coneix;7;Coneix;5;Coneix;6;Coneix;3;Coneix;0 Molt malament;Coneix;4;No coneix; ;Coneix;2;Coneix;0 Molt malament;Coneix;3; ; ;Catalunya; ;Catalunya; ;Quatre;Catolicisme;-;Sí, un cop al mes;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector públic (Administració pública+empreses públiques);Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Casat/ada;2;Tan espanyol/a com català/ana;Català (valencià / balear);Català (valencià / balear);Classe mitjana;Sí i en fa ús;Dos;Entre 2.001 i 3.000 euros;No; ; ; ; ;-;No;Quasi mai;Gens;Molt;Bastant;Molt;Cap; ;No va votar;No va votar;Altres, blanc; ;No va votar;No ho sap; ;No va votar;No va votar
1;76;2021;5; ; ; ;1096;831;Dona;41;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;65;65 anys o més;De 65 a 69 anys;Catalunya; ; ;Trucada a telèfon fix;No;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";ESP_0_10 + CAT_0_10;SIGNIFICA_ESP + DEFINICIO_CAT;Dolenta;Igual;Es quedarà igual;Dolenta;Pitjor;Molt dolenta;Pitjor;Es quedarà igual;Dolenta;Sóc un/a espanyol/a que viu a Catalunya;Poc;Molt;Cap confiança;0 Molt dolenta;Cap confiança;0 Molt dolenta;Sí;No;Sí;No;No;No;No;No;Poc satisfet/a;PSC;-;Centre-esquerra;6;6;República;L’Estat del qual soc ciutadà/ana;Una nacionalitat;-;Un nivell suficient d'autonomia;Una comunitat autònoma d'Espanya;No;Molt en desacord;Un deure;Congrés dels diputats (generals);8;Estic segur que vaig votar;Ho tenia decidit fa força temps;PSC;-;Amb convicció;No;No;No;Sí;No;No;No;No;No;No;No;8;7;10 Ho va tenir molt en compte;8;7;PSC;-;Estic segur que vaig votar;PSC;-;PSC;-;Estic segur que vaig votar;PSC;-;No coneix; ;Coneix;0 Molt malament;Coneix;6;Coneix;0 Molt malament;Coneix;2;Coneix;9;Coneix;10 Molt bé;Coneix;6;No coneix; ;No coneix; ;No coneix; ;No coneix; ;Coneix;5;No coneix; ; ; ;Altres comunitats autònomes;Andalusia;Altres comunitats autònomes;Andalusia;Cap a Catalunya;Catolicisme;-;No, mai;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector privat;Cicle formatiu de grau mitjà, FP1, Oficialia industrial o equivalent;-;Vidu/a;1;Tan espanyol/a com català/ana;Castellà;Castellà;Classe treballadora mitjana;Sí i en fa ús;Dos;Entre 1.001 i 2.000 euros;No; ; ; ; ;-;No;Mai;Gens;Molt;Molt;Molt;PSC;PSC;PSC;PSC;PSC;PSC;PSC;PSC;PSC;PSC;PSC
1;77;2021;5; ; ; ;1298;889;Dona;27;Universitari grau superior;Espanya; ;BARCELONA;De 10.001 a 50.000; ;Alt Penedès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;55;De 50 a 64 anys;De 55 a 59 anys;Catalunya; ; ;Trucada a telèfon mòbil;Sí;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";CAT_0_10 + ESP_0_10;SIGNIFICA_ESP + DEFINICIO_CAT;Dolenta;Pitjor;Empitjorarà;Molt dolenta;Pitjor;Molt dolenta;Pitjor;Empitjorarà;Molt dolenta;Cap de les anteriors/una altra;Molt;Bastant;3;3;3;3;No;Sí;Sí;No;No;No;No;No;Gens satisfet/a;No contesta;-;Esquerra;5;0 Mínim espanyolisme;República;Un Estat aliè, del qual el meu país no hauria de formar-ne part;Un país;-;Un nivell insuficient d'autonomia;Un estat independent;Sí;Molt d'acord;Un dret;Totes igual;0 Molt insatisfet/a;Estic segur que vaig votar;Ho tenia decidit fa força temps;No contesta;-; ; ; ; ; ; ; ; ; ; ; ; ;10 Ho va tenir molt en compte;10 Ho va tenir molt en compte;10 Ho va tenir molt en compte;10 Ho va tenir molt en compte;10 Ho va tenir molt en compte;No contesta;-;Estic segur que vaig votar;No contesta;-;No contesta;-;Estic segur que vaig votar;No contesta;-;Coneix;4;Coneix;6;Coneix;5;Coneix;6;Coneix;1;Coneix;0 Molt malament;Coneix;3;Coneix;6;Coneix;4;Coneix;0 Molt malament;Coneix;2;Coneix;7;Coneix;7;Coneix;0 Molt malament; ; ;Catalunya; ;Catalunya; ;Quatre;Cap: Ateisme;-; ;No treballa;Treball domèstic no remunerat; ; ;Cursos d'especialització professional, Postgrau, Màster (MIR, FIR...);-;Casat/ada;1;Només català/ana;Català (valencià / balear);Català (valencià / balear);Classe treballadora baixa;Sí, però no en fa ús;Tres;Entre 1.001 i 2.000 euros;Sí;Càncer; ; ; ;-;Sí;Quasi mai;Poc;Bastant;Bastant;Molt;No contesta;No contesta;No contesta;No contesta;No contesta;No contesta;No contesta;No contesta;No contesta;No contesta;No contesta
1;78;2021;5; ; ; ;1174;897;Dona;42;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;GIRONA;De 10.001 a 50.000; ;Alt Empordà;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;63;De 50 a 64 anys;De 60 a 64 anys;Catalunya; ; ;Trucada a telèfon fix;Sí;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";ESP_0_10 + CAT_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Dolenta;Pitjor;No ho sap;Dolenta;Igual;Dolenta;Pitjor;Es quedarà igual;Molt dolenta;Sóc un/a català/ana que viu a Catalunya;Bastant;Bastant;4;5;1;0 Molt dolenta;No;No;No;Sí;No;No;No;No;Poc satisfet/a;Junts per Catalunya;-;Centre-esquerra;9;1;República;Un Estat aliè, del qual el meu país no hauria de formar-ne part;Un país;-;Un nivell insuficient d'autonomia;Un estat independent;Sí;Molt d'acord;Un dret;Parlament de Catalunya (autonòmiques);7;Estic segur que vaig votar;Ho tenia decidit fa força temps;Junts per Catalunya;-;Amb convicció;No;No;Sí;No;No;No;No;No;No;No;No;7;6;7;7;5;Junts per Catalunya;-;Estic segur que vaig votar;Junts per Catalunya;junts per si;Junts per Catalunya;-;Estic segur que vaig votar;Junts per Catalunya;-;Coneix;0 Molt malament;Coneix;8;Coneix;8;Coneix;8;Coneix;6;Coneix;0 Molt malament;Coneix;4;Coneix;7;No coneix; ;Coneix;0 Molt malament;No coneix; ;No coneix; ;Coneix;8;Coneix;0 Molt malament; ; ;Catalunya; ;Catalunya; ;Quatre;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Sector públic (Administració pública+empreses públiques);Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Divorciat/ada;1;Només català/ana;Català (valencià / balear);Català (valencià / balear);Classe treballadora mitjana;Sí i en fa ús;Una;Entre 1.001 i 2.000 euros;No; ; ; ; ;-;No;Mai;Gens;Poc;Molt;Molt;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya;Altres, blanc;Altres, blanc;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya
1;79;2021;5; ; ; ;1321;840;Dona;61;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 50.001 a 150.000;MANRESA;Bages;Sí;Li és indiferent;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;44;De 35 a 49 anys;De 40 a 44 anys;Catalunya; ; ;Trucada a telèfon mòbil;No;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";CAT_0_10 + ESP_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Dolenta;Pitjor;Es quedarà igual;Dolenta;Pitjor;Molt dolenta;Igual;Empitjorarà;Dolenta;Sóc un/a català/ana que viu a Catalunya;Poc;Bastant;3;4;2;3;Sí;Sí;No;No;No;No;No;No;Poc satisfet/a;CUP;-;Esquerra;8;4;República;L’Estat del qual soc ciutadà/ana;Un país;-;Un nivell suficient d'autonomia;Un estat independent;Sí;Molt d'acord;Un dret;Ajuntament (municipals);4;Estic segur que vaig votar;Ho vaig decidir durant la darrera campanya electoral;CUP;-;Amb certs dubtes;No;No;No;No;No;Sí;No;No;No;No;No;8;8;8;7;6;No ho sap;-;Estic segur que vaig votar;Junts per Catalunya;-;CUP;-;Estic segur que vaig votar;CUP;-;Coneix;3;Coneix;7;Coneix;7;Coneix;8;Coneix;5;Coneix;1;Coneix;3;Coneix;6;Coneix;4;Coneix;2;Coneix;1;Coneix;5;Coneix;7;Coneix;1; ; ;Catalunya; ;Catalunya; ;Tres;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Amb parella estable;0;Més català/ana que espanyol/a;Català (valencià / balear);Català (valencià / balear);Classe treballadora mitjana;No;Una;Entre 1.001 i 2.000 euros;No; ; ; ; ;-;No;Mai;Gens;Molt;Molt;Molt;CUP;CUP;CUP;CUP;No ho sap;Junts per Catalunya;Junts per Catalunya;CUP;CUP;CUP;CUP
1;80;2021;5; ; ; ;1225;850;Dona;51;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 50.001 a 150.000;SANT CUGAT DEL VALLÈS;Vallès Occidental;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;24;24 anys o menys;De 20 a 24 anys;Catalunya; ; ;Trucada a telèfon mòbil;No;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";ESP_0_10 + CAT_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Dolenta;Pitjor;Empitjorarà;Dolenta;Millor;Molt dolenta;Pitjor;No ho sap;Dolenta;Sóc un/a català/ana que viu a Espanya;Poc;Poc;6;6;4;4;No;No;Sí;Sí;No;No;No;No;Gens satisfet/a;Altres partits;izquierda;Esquerra;7;3;República;Una nació de la qual em sento membre;Una comunitat autònoma;-;Un nivell insuficient d'autonomia;Un estat independent;Sí;Molt d'acord;Un dret;Parlament de Catalunya (autonòmiques);7;Estic segur que vaig votar;Ho vaig decidir durant la darrera campanya electoral;Altres partits;IZQUIERDA;Amb certs dubtes;No;No;No;Sí;No;No;No;No;No;No;No;7;8;5;7;8;Altres partits;izquierda;Estic segur que vaig votar;Altres partits;IZQUIERDA;No ho sap;-;No vaig votar; ;-;No coneix; ;Coneix;4;No coneix; ;Coneix;6;Coneix;4;No coneix; ;Coneix;4;No coneix; ;No coneix; ;Coneix;3;Coneix;4;Coneix;5;Coneix;6;Coneix;3; ; ;Altres comunitats autònomes;País Basc;Catalunya; ;Dos;Cap: Agnosticisme;-; ;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Diplomatura, Enginyeria/arquitectura tècnica o equivalent;-;Solter/a;0;Més català/ana que espanyol/a;Català (valencià / balear);Català (valencià / balear);Classe mitjana alta;Sí, però no en fa ús;Quatre;Més de 5.000 euros;No; ; ; ; ;-;No;Mai;Gens;Molt;Molt;Molt;Altres;Altres, blanc;Altres;Altres, blanc;Altres, blanc;Altres, blanc;Altres, blanc;No ho sap; ;No va votar;No va votar
1;81;2021;5; ; ; ;1439;898;Dona;61;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 50.001 a 150.000;MOLLET DEL VALLÈS;Vallès Oriental;Sí;Li és indiferent;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;65;65 anys o més;De 65 a 69 anys;Catalunya; ; ;Trucada a telèfon fix;No;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";CAT_0_10 + ESP_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Dolenta;Pitjor;Es quedarà igual;Bona;Igual;Dolenta;Igual;Empitjorarà;Bona;Sóc un/a català/ana que viu a Espanya;Poc;Poc;Cap confiança;0 Molt dolenta;Cap confiança;8;Sí;No;No;Sí;No;No;No;No;Molt satisfet/a;PSC;-;Esquerra;5;5;No ho sap;El meu país;Una comunitat autònoma;-;No ho sap;Una comunitat autònoma d'Espanya;No;Molt en desacord;Un deure;Autonòmiques i generals;5;Estic segur que vaig votar;Ho tenia decidit fa força temps;PSC;-;Amb convicció;No;Sí;No;No;No;No;No;No;No;No;No;6;5;5;5;6;PSC;-;Habitualment voto però aquesta vegada no; ;-;PSC;-;Habitualment voto però aquesta vegada no; ;-;Coneix;4;Coneix;0 Molt malament;Coneix;0 Molt malament;Coneix;4;Coneix;4;Coneix;8;Coneix;8;Coneix;5;No coneix; ;Coneix;4;Coneix;2;Coneix;5;No coneix; ;Coneix;2; ; ;Altres comunitats autònomes;Andalusia;Altres comunitats autònomes;Andalusia;Cap a Catalunya;Catolicisme;-;Sí, algun cop a l'any;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector privat;Va anar a l'escola 5 o mès anys però sense completar ESO, EGB o Batxillerat elemental;-;Casat/ada;2;Tan espanyol/a com català/ana;Castellà;Castellà;Classe mitjana;Sí i en fa ús;Tres;Entre 3.001 i 4.000 euros;No; ; ; ; ;-;No;Quasi mai;Gens;Bastant;Bastant;Molt;PSC;PSC;PSC;PSC;PSC; ;No va votar;PSC; ;No va votar;No va votar
1;82;2021;5; ; ; ;1208;827;Home;42;Universitari grau superior;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;67;65 anys o més;De 65 a 69 anys;Catalunya; ; ;Trucada a telèfon fix;No;"CONFI_POL_CAT + VAL_GOV_CAT després d’ INF_POL; CONFI_POL_ESP + VAL_GOV_ESP després de VAL_VIDA";ESP_0_10 + CAT_0_10;SIGNIFICA_ESP + DEFINICIO_CAT;Dolenta;Pitjor;Empitjorarà;Dolenta;Igual;Molt dolenta;Pitjor;Millorarà;Dolenta;Sóc un/a català/ana que viu a Catalunya;Bastant;Bastant;Cap confiança;3;Cap confiança;0 Molt dolenta;No;Sí;Sí;No;No;No;No;No;Gens satisfet/a;CUP;-;Extrema esquerra;8;0 Mínim espanyolisme;República;Un Estat aliè, del qual el meu país no hauria de formar-ne part;Un país;-;Un nivell insuficient d'autonomia;Un estat independent;Sí;Molt d'acord;Un dret;Parlament de Catalunya (autonòmiques);10 Molt satisfet/a;Estic segur que vaig votar;Ho tenia decidit fa força temps;CUP;-;Amb convicció;No;No;No;Sí;No;No;No;No;No;No;No;0 No ho va tenir gens en compte;3;10 Ho va tenir molt en compte;3;5;CUP;-;Estic segur que vaig votar;CUP;-;CUP;-;Estic segur que vaig votar;CUP;-;Coneix;0 Molt malament;Coneix;8;Coneix;6;Coneix;8;Coneix;6;Coneix;0 Molt malament;Coneix;0 Molt malament;Coneix;7;Coneix;6;Coneix;0 Molt malament;No ho sap; ;Coneix;9;Coneix;8;Coneix;0 Molt malament; ; ;Altres comunitats autònomes;Comunitat Foral de Navarra;Catalunya; ;Cap a Catalunya;Cap: Ateisme;-; ;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector privat;Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o mès);-;Casat/ada;0;Només català/ana;Totes dues igual: català (valencià / balear) i castellà;Castellà;Classe treballadora mitjana;Sí i en fa ús;Dos;Entre 1.001 i 2.000 euros;No; ; ; ; ;-;Sí;Alguna vegada;Gens;Bastant;Molt;Molt;CUP;CUP;CUP;CUP;CUP;CUP;CUP;CUP;CUP;CUP;CUP
1;83;2021;5; ; ; ;1342;893;Home;43;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;22;24 anys o menys;De 20 a 24 anys;Catalunya; ; ;Trucada a telèfon fix;Sí;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";CAT_0_10 + ESP_0_10;SIGNIFICA_ESP + DEFINICIO_CAT;Dolenta;Igual;Millorarà;Dolenta;Igual;Dolenta;Pitjor;Millorarà;Dolenta;Sóc un/a català/ana que viu a Catalunya;Bastant;Bastant;7;8;5;3;Sí;No;No;Sí;No;No;No;No;Poc satisfet/a;CUP;-;Esquerra;8;1;República;Un Estat aliè, del qual el meu país no hauria de formar-ne part;Un país;-;Un nivell insuficient d'autonomia;Un estat independent;Sí;Molt d'acord;Un dret;Parlament de Catalunya (autonòmiques);7;Estic segur que vaig votar;Ho vaig decidir durant la darrera campanya electoral;CUP;-;Amb convicció;No;No;No;No;Sí;No;No;No;No;No;No;9;7;7;8;6;CUP;-;Estic segur que vaig votar;ERC;-;CUP;-;Estic segur que vaig votar;CUP;-;Coneix;6;Coneix;7;Coneix;6;Coneix;9;Coneix;7;Coneix;3;Coneix;3;Coneix;6;Coneix;6;Coneix;2;Coneix;4;Coneix;7;Coneix;8;Coneix;1; ; ;Catalunya; ;Catalunya; ;Quatre;Cap: Agnosticisme;-; ;No treballa;Estudiant; ; ;Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Solter/a;0;Més català/ana que espanyol/a;Català (valencià / balear);Català (valencià / balear);Classe mitjana alta;Sí i en fa ús;Tres;Entre 4.001 i 5.000 euros;No; ; ; ; ;-;No;Alguna vegada;Gens;Bastant;Bastant;Bastant;CUP;CUP;CUP;CUP;CUP;ERC;ERC;CUP;CUP;CUP;CUP
1;84;2021;5; ; ; ;1140;889;Dona;27;Universitari grau superior;Espanya; ;BARCELONA;De 150.001 a 1.000.000;BADALONA;Barcelonès;Sí;Li és indiferent;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;58;De 50 a 64 anys;De 55 a 59 anys;Altres comunitats autònomes; ; ;Trucada a telèfon fix;No;"CONFI_POL_ESP + VAL_GOV_ESP després de l’INF_POL; CONFI_POL_CAT + VAL_GOV_CAT després de VAL_VIDA";ESP_0_10 + CAT_0_10;DEFINICIO_CAT + SIGNIFICA_ESP;Molt dolenta;Pitjor;Empitjorarà;Dolenta;Igual;Molt dolenta;Igual;Es quedarà igual;Dolenta;Cap de les anteriors/una altra;Bastant;Bastant;1;0 Molt dolenta;3;1;No;Sí;Sí;Sí;No;No;No;No;Bastant satisfet/a;Cap;-;Centre;5;5;Monarquia;L’Estat del qual soc ciutadà/ana;Un país;-;Un nivell suficient d'autonomia;Un estat dins una Espanya federal;No;Bastant d'acord;Un dret;Ajuntament (municipals);5;Habitualment voto però aquesta vegada no; ; ;-; ; ; ; ; ; ; ; ; ; ; ; ;0 No ho va tenir gens en compte;5; 0 No ho va tenir gens en compte; 0 No ho va tenir gens en compte;0 No ho va tenir gens en compte;No votaria;-;Estic segur que vaig votar;En blanc;-;PACMA;animalista;Estic segur que vaig votar;PSC;-;Coneix;5;Coneix;0 Molt malament;Coneix;0 Molt malament;Coneix;5;Coneix;5;Coneix;0 Molt malament;Coneix;5;No coneix; ;No coneix; ;Coneix;5;No coneix; ;Coneix;0 Molt malament;Coneix;0 Molt malament;Coneix;4;Andalusia;1970;Altres comunitats autònomes;Andalusia;Altres comunitats autònomes;Andalusia;Cap a Catalunya;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o mès);-;Casat/ada;2;Tan espanyol/a com català/ana;Altres llengües o altres combinacions;Castellà;Classe mitjana;Sí i en fa ús;Quatre;Més de 5.000 euros;No; ; ; ; ;-;Sí;Quasi mai;Poc;Bastant;Bastant;Bastant;Cap; ;No va votar;No va votar;No votaria;Altres, blanc;Altres, blanc;Altres, blanc;PSC;PSC;PSC
